x,y,n
0.45,2.52,1
1.23,2.52,2
2.01,2.52,3
3,2.52,4
5.26,2.52,5
6.2,2.52,6
7.14,2.52,7
8.13,2.52,8
9.14,2.52,9
10.05,2.52,10
12.21,2.52,11
13.15,2.52,12
13.87,2.52,13
14.645,2.52,14
15.38,2.52,15
16.135,2.52,16
16.89,2.52,17
0.45,2.02,18
1.23,2.02,19
2.01,2.02,20
3,2.02,21
5.26,2.02,22
6.2,2.02,23
7.14,2.02,24
8.13,2.02,25
9.14,2.02,26
10.05,2.02,27
13.87,2.02,28
16.89,2.02,29
0.45,0.82,30
1.23,0.82,31
2.01,0.82,32
3,0.82,33
5.23,0.82,34
6,0.82,35
6.84,0.82,36
7.495,0.82,37
8.54,0.82,38
9.315,0.82,39
10.09,0.82,40
0.45,0.32,41
1.23,0.32,42
2.01,0.32,43
3,0.32,44
5.23,0.32,45
6,0.32,46
6.84,0.32,47
7.495,0.32,48
8.54,0.32,49
9.315,0.32,50
10.09,0.32,51
12.21,0.32,52
13.15,0.32,53
13.89,0.32,54